beta,theta,mean_precision,mean_recall,mean_f1,mean_far,method
0.3,0.15,0.0464,0.3224,0.0791,0.047652,SMA
0.3,0.2,0.0422,0.2944,0.0718,0.049877,SMA
0.3,0.25,0.0409,0.2804,0.0691,0.054165,SMA
0.3,0.3,0.0398,0.2804,0.0675,0.055605,SMA
0.3,0.4,0.0446,0.1612,0.0653,0.021096,SMA
0.3,0.5,0.0424,0.1121,0.0572,0.014639,SMA
0.5,0.1,0.0421,0.2897,0.0716,0.047098,SMA
0.5,0.15,0.0401,0.2804,0.0683,0.050887,SMA
0.5,0.2,0.0385,0.2664,0.065,0.052015,SMA
0.5,0.25,0.0381,0.2664,0.0644,0.052558,SMA
0.5,0.3,0.038,0.2664,0.0641,0.0566,SMA
0.5,0.4,0.0361,0.264,0.0615,0.058398,SMA
0.5,0.5,0.0369,0.264,0.0616,0.059494,SMA
0.7,0.1,0.0381,0.2664,0.0644,0.052558,SMA
0.7,0.15,0.0381,0.2664,0.0644,0.052558,SMA
0.7,0.2,0.0381,0.2664,0.0644,0.052558,SMA
0.7,0.25,0.0373,0.264,0.0629,0.057421,SMA
0.7,0.3,0.0369,0.264,0.0616,0.059494,SMA
0.7,0.4,0.0369,0.264,0.0616,0.059494,SMA
0.7,0.5,0.0369,0.264,0.0616,0.059494,SMA
0.1,0.1,0.0669,0.4229,0.1127,0.044904,EWMA
0.1,0.15,0.0427,0.1939,0.0666,0.028382,EWMA
0.1,0.2,0.0337,0.0911,0.0461,0.014884,EWMA
0.1,0.25,0.0187,0.0257,0.0203,0.006394,EWMA
0.1,0.3,0.0093,0.0093,0.0093,0.002226,EWMA
0.1,0.4,0.0047,0.0047,0.0047,0.0,EWMA
0.1,0.5,0.0,0.0,0.0,0.0,EWMA
0.2,0.1,0.0654,0.4065,0.1104,0.042965,EWMA
0.2,0.15,0.0518,0.3645,0.0887,0.050504,EWMA
0.2,0.2,0.0417,0.3224,0.072,0.05651,EWMA
0.2,0.25,0.0292,0.1121,0.0437,0.026115,EWMA
0.2,0.3,0.0299,0.0935,0.0429,0.019071,EWMA
0.2,0.4,0.0235,0.0304,0.0252,0.005178,EWMA
0.2,0.5,0.0093,0.0093,0.0093,0.001053,EWMA
0.3,0.1,0.0593,0.3808,0.1005,0.045171,EWMA
0.3,0.15,0.0486,0.3364,0.083,0.051464,EWMA
0.3,0.2,0.0451,0.3178,0.077,0.053478,EWMA
0.3,0.25,0.0393,0.3084,0.068,0.057562,EWMA
0.3,0.3,0.0382,0.3014,0.066,0.058558,EWMA
0.3,0.4,0.0296,0.0888,0.042,0.017387,EWMA
0.3,0.5,0.0362,0.0631,0.0429,0.010144,EWMA
0.5,0.1,0.0474,0.3201,0.0806,0.050231,EWMA
0.5,0.15,0.0447,0.3131,0.0762,0.053529,EWMA
0.5,0.2,0.0428,0.3037,0.073,0.054137,EWMA
0.5,0.25,0.0432,0.3037,0.0737,0.054241,EWMA
0.5,0.3,0.0386,0.3014,0.0667,0.058741,EWMA
0.5,0.4,0.0382,0.3014,0.066,0.059487,EWMA
0.5,0.5,0.0385,0.3014,0.0664,0.059592,EWMA
0.7,0.1,0.0432,0.3037,0.0737,0.054241,EWMA
0.7,0.15,0.0432,0.3037,0.0737,0.054241,EWMA
0.7,0.2,0.0432,0.3037,0.0737,0.054241,EWMA
0.7,0.25,0.0385,0.3014,0.0664,0.059185,EWMA
0.7,0.3,0.0385,0.3014,0.0664,0.059592,EWMA
0.7,0.4,0.0385,0.3014,0.0664,0.059592,EWMA
0.7,0.5,0.0385,0.3014,0.0664,0.059592,EWMA
