method,n_sampled,likely genuine anomaly,likely_genuine_anomaly_pct,likely noise,likely_noise_pct,unclear,unclear_pct
SMA,30,7,23.3,21,70.0,2,6.7
EWMA,30,7,23.3,22,73.3,1,3.3
