dataset,method,signature_id,T_total,T_train,T_val,T_test,param,seed,test_n_alerts,test_has_alert,test_detected,test_precision,test_recall,test_f1,test_far,test_storage_reduc,test_tp_iv,test_fp_iv,test_tp_al,test_fn_al,test_mean_delay,test_n_on
firefox-android,"ARIMA(1,1,1)",4654325,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.06383,0.8652,0,9,0,1,,19
firefox-android,"ARIMA(1,1,1)",4654327,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.049645,0.9362,0,7,0,1,,9
firefox-android,"ARIMA(1,1,1)",4654329,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.049645,0.8865,0,7,0,1,,16
firefox-android,"ARIMA(1,1,1)",4654059,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.043478,0.913,0,6,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654060,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.043478,0.913,0,6,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654061,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.057971,0.913,0,8,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654062,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.057971,0.8841,0,8,0,0,,16
firefox-android,"ARIMA(1,1,1)",4654063,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.065217,0.8913,0,9,0,0,,15
firefox-android,"ARIMA(1,1,1)",4654065,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.057971,0.8986,0,8,0,0,,14
firefox-android,"ARIMA(1,1,1)",4654067,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.065217,0.9058,0,9,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654068,690,414,138,138,0.3,,1,True,False,0.0,0.0,0.0,0.065217,0.8768,0,9,0,1,,17
firefox-android,"ARIMA(1,1,1)",4654069,690,414,138,138,0.3,,1,True,False,0.0,0.0,0.0,0.057971,0.8623,0,8,0,1,,19
