protocol,dataset,seed,comparator,mean_transformer_f1,mean_classical_f1,mean_paired_difference,fraction_transformer_higher
canonical_shared_gate,firefox-android,42,SMA(w=40),0.10438391812865497,0.10388011695906434,0.0005038011695906406,0.12573099415204678
canonical_shared_gate,firefox-android,42,EWMA(a=0.05),0.10438391812865497,0.10334473684210528,0.0010391812865497062,0.11695906432748537
canonical_shared_gate,firefox-android,123,SMA(w=40),0.10292456140350875,0.10388011695906434,-0.0009555555555555568,0.10526315789473684
canonical_shared_gate,firefox-android,123,EWMA(a=0.05),0.10292456140350875,0.10334473684210528,-0.000420175438596493,0.10818713450292397
canonical_shared_gate,firefox-android,456,SMA(w=40),0.10354649122807015,0.10388011695906434,-0.0003336257309941539,0.11988304093567251
canonical_shared_gate,firefox-android,456,EWMA(a=0.05),0.10354649122807015,0.10334473684210528,0.0002017543859649115,0.10526315789473684
canonical_shared_gate,firefox-android,789,SMA(w=40),0.10636140350877192,0.10388011695906434,0.0024812865497076003,0.13450292397660818
canonical_shared_gate,firefox-android,789,EWMA(a=0.05),0.10636140350877192,0.10334473684210528,0.0030166666666666675,0.12280701754385964
canonical_shared_gate,firefox-android,1024,SMA(w=40),0.10832192982456142,0.10388011695906434,0.004441812865497074,0.1286549707602339
canonical_shared_gate,firefox-android,1024,EWMA(a=0.05),0.10832192982456142,0.10334473684210528,0.004977192982456139,0.12280701754385964
canonical_shared_gate,mozilla-beta,42,SMA(w=20),0.07833500338524035,0.0846911306702776,-0.006356127285037239,0.08192281651997292
canonical_shared_gate,mozilla-beta,42,EWMA(a=0.05),0.07833500338524035,0.08297596479350035,-0.004640961408259986,0.08937034529451592
canonical_shared_gate,mozilla-beta,123,SMA(w=20),0.07748767772511848,0.0846911306702776,-0.007203452945159106,0.08124576844955991
canonical_shared_gate,mozilla-beta,123,EWMA(a=0.05),0.07748767772511848,0.08297596479350035,-0.005488287068381856,0.08463100880162491
canonical_shared_gate,mozilla-beta,456,SMA(w=20),0.07863358158429248,0.0846911306702776,-0.006057549085985106,0.08733920108327692
canonical_shared_gate,mozilla-beta,456,EWMA(a=0.05),0.07863358158429248,0.08297596479350035,-0.004342383209207854,0.0907244414353419
canonical_shared_gate,mozilla-beta,789,SMA(w=20),0.07959302640487474,0.0846911306702776,-0.005098104265402843,0.08598510494245092
canonical_shared_gate,mozilla-beta,789,EWMA(a=0.05),0.07959302640487474,0.08297596479350035,-0.0033829383886255916,0.08327691266079891
canonical_shared_gate,mozilla-beta,1024,SMA(w=20),0.0802957345971564,0.0846911306702776,-0.0043953960731211925,0.08937034529451592
canonical_shared_gate,mozilla-beta,1024,EWMA(a=0.05),0.0802957345971564,0.08297596479350035,-0.0026802301963439394,0.09004739336492891
detector_specific_gate,firefox-android,42,SMA(w=40),0.15045906432748538,0.21384385964912284,-0.06338479532163743,0.06140350877192982
detector_specific_gate,firefox-android,42,EWMA(a=0.05),0.15045906432748538,0.2031476608187134,-0.05268859649122807,0.07894736842105263
detector_specific_gate,firefox-android,123,SMA(w=40),0.15316900584795323,0.21384385964912284,-0.06067485380116958,0.07017543859649122
detector_specific_gate,firefox-android,123,EWMA(a=0.05),0.15316900584795323,0.2031476608187134,-0.04997865497076023,0.07309941520467836
detector_specific_gate,firefox-android,456,SMA(w=40),0.13836345029239766,0.21384385964912284,-0.07548040935672516,0.05263157894736842
detector_specific_gate,firefox-android,456,EWMA(a=0.05),0.13836345029239766,0.2031476608187134,-0.06478421052631579,0.06140350877192982
detector_specific_gate,firefox-android,789,SMA(w=40),0.1451248538011696,0.21384385964912284,-0.06871900584795321,0.05555555555555555
detector_specific_gate,firefox-android,789,EWMA(a=0.05),0.1451248538011696,0.2031476608187134,-0.058022807017543865,0.07309941520467836
detector_specific_gate,firefox-android,1024,SMA(w=40),0.14396374269005846,0.21384385964912284,-0.06988011695906433,0.06140350877192982
detector_specific_gate,firefox-android,1024,EWMA(a=0.05),0.14396374269005846,0.2031476608187134,-0.05918391812865497,0.07602339181286549
detector_specific_gate,mozilla-beta,42,SMA(w=20),0.10043798239675017,0.11017352742044684,-0.009735545023696683,0.1002031144211239
detector_specific_gate,mozilla-beta,42,EWMA(a=0.05),0.10043798239675017,0.10891550440081246,-0.008477522004062286,0.1015572105619499
detector_specific_gate,mozilla-beta,123,SMA(w=20),0.10173730534867977,0.11017352742044684,-0.008436222071767094,0.1015572105619499
detector_specific_gate,mozilla-beta,123,EWMA(a=0.05),0.10173730534867977,0.10891550440081246,-0.0071781990521327,0.1029113067027759
detector_specific_gate,mozilla-beta,456,SMA(w=20),0.10009363574813812,0.11017352742044684,-0.010079891672308732,0.09681787406905891
detector_specific_gate,mozilla-beta,456,EWMA(a=0.05),0.10009363574813812,0.10891550440081246,-0.00882186865267434,0.1008801624915369
detector_specific_gate,mozilla-beta,789,SMA(w=20),0.09976431956668924,0.11017352742044684,-0.010409207853757615,0.0927555856465809
detector_specific_gate,mozilla-beta,789,EWMA(a=0.05),0.09976431956668924,0.10891550440081246,-0.009151184834123222,0.0995260663507109
detector_specific_gate,mozilla-beta,1024,SMA(w=20),0.1016780636425186,0.11017352742044684,-0.008495463777928232,0.1015572105619499
detector_specific_gate,mozilla-beta,1024,EWMA(a=0.05),0.1016780636425186,0.10891550440081246,-0.00723744075829384,0.10426540284360189
