protocol,dataset,contrast,comparator,metric,n_pairs,n_nonzero_pairs,transformer_mean,classical_mean,mean_paired_difference,median_paired_difference,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_reps,wilcoxon_statistic,p_value_raw,rank_biserial,positive_difference_pct,zero_difference_pct,difference_definition,better_direction,p_value_holm,significant_holm_0_05
canonical_shared_gate,firefox-android,Transformer - SMA,SMA(w=40),precision,342,106,0.06876690058479532,0.06611608187134503,0.002650818713450294,0.0,-0.006007127192982456,0.011486956140350878,10000,2827.0,0.9786263559134156,0.002997707635337683,13.450292397660817,69.00584795321637,Transformer minus classical,positive,1.0,False
canonical_shared_gate,firefox-android,Transformer - SMA,SMA(w=40),recall,342,20,0.29239766081871343,0.2894736842105263,0.0029239766081871356,0.0,-0.015204678362573098,0.02105263157894737,10000,94.5,0.6935382346432815,0.1,2.631578947368421,94.15204678362574,Transformer minus classical,positive,1.0,False
canonical_shared_gate,firefox-android,Transformer - SMA,SMA(w=40),f1,342,107,0.10510766081871346,0.10388011695906434,0.0012275438596491212,0.0,-0.010166980994152046,0.012734963450292387,10000,2802.0,0.7868545928202612,-0.030114226375908618,13.450292397660817,68.71345029239765,Transformer minus classical,positive,1.0,False
canonical_shared_gate,firefox-android,Transformer - SMA,SMA(w=40),far,342,341,0.06569408771929824,0.054694596491228084,0.010999491228070176,0.010901800000000003,0.008115875453216376,0.01383700729532164,10000,16434.0,2.8888971705698322e-12,0.4363327674023769,67.83625730994152,0.29239766081871343,Transformer minus classical,negative,2.0222280193988827e-11,True
canonical_shared_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),precision,342,101,0.06876690058479532,0.06757573099415205,0.0011911695906432745,0.0,-0.006087809941520468,0.00867133625730994,10000,2527.0,0.8694946826098087,-0.018831294894195303,12.865497076023392,70.46783625730994,Transformer minus classical,positive,1.0,False
canonical_shared_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),recall,342,20,0.29239766081871343,0.2631578947368421,0.029239766081871343,0.0,0.012280701754385965,0.047953216374269005,10000,22.0,0.0018552911752913032,0.7904761904761904,4.970760233918129,94.15204678362574,Transformer minus classical,positive,0.011131747051747819,True
canonical_shared_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),f1,342,102,0.10510766081871346,0.10334473684210528,0.001762923976608187,0.0,-0.007791997076023393,0.01152740350877193,10000,2597.0,0.9215540389553285,-0.011231677136874167,13.157894736842104,70.17543859649122,Transformer minus classical,positive,1.0,False
canonical_shared_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),far,342,337,0.06569408771929824,0.05215496198830409,0.013539125730994151,0.012414399999999997,0.01069821798245614,0.016505338099415203,10000,13267.0,1.9357057140625498e-17,0.534107070742542,70.46783625730994,1.461988304093567,Transformer minus classical,negative,1.5485645712500399e-16,True
canonical_shared_gate,mozilla-beta,Transformer - SMA,SMA(w=20),precision,1477,378,0.053937616790792155,0.05744698713608666,-0.0035093703452945156,0.0,-0.008814364928909952,0.0018937403520649944,10000,26314.0,7.82973894877802e-06,-0.2652901676648379,9.81719702098849,74.40758293838863,Transformer minus classical,positive,3.9148694743890095e-05,True
canonical_shared_gate,mozilla-beta,Transformer - SMA,SMA(w=20),recall,1477,64,0.23475513879485443,0.2408034529451591,-0.006048314150304672,0.0,-0.012886499661475963,0.0006550264048747382,10000,809.5,0.12200775991107161,-0.22163461538461537,1.5572105619498984,95.6668923493568,Transformer minus classical,positive,0.24401551982214323,False
