dataset,signature_id,T_total,T_train,T_val,T_test,n_params,trans_train_time_s,trans_train_mem_KB,trans_n_epochs,trans_infer_time_s,trans_infer_time_ms_per_step,trans_infer_mem_KB,arima_fit_time_s,arima_fit_mem_KB,arima_infer_time_s,arima_infer_time_ms_per_step,arima_infer_mem_KB,sma_infer_time_s,sma_infer_time_ms_per_step,sma_infer_mem_KB,ewma_infer_time_s,ewma_infer_time_ms_per_step,ewma_infer_mem_KB,last_infer_time_s,last_infer_time_ms_per_step,last_infer_mem_KB
mozilla-beta,4168106,1051,631,210,210,8641,0.8823,0.0,20,0.177215,0.8439,0.0,0.1257,0.0,1.1378,5.418,0.0,0.011218,0.0534,0.0,0.007731,0.0368,0.0,0.007702,0.0367,0.0
mozilla-beta,4168109,1051,631,210,210,8641,1.1367,0.0,20,0.219215,1.0439,0.0,0.1631,0.0,1.1948,5.69,0.0,0.012677,0.0604,0.0,0.008341,0.0397,0.0,0.008921,0.0425,0.0
mozilla-beta,4168112,1051,631,210,210,8641,0.8039,0.0,20,0.201448,0.9593,0.0,0.1311,0.0,1.1355,5.407,0.0,0.011727,0.0558,0.0,0.008485,0.0404,0.0,0.00828,0.0394,0.0
mozilla-beta,4168114,1051,631,210,210,8641,0.8042,0.0,20,0.175796,0.8371,0.0,0.1502,0.0,1.1247,5.356,0.0,0.011752,0.056,0.0,0.008234,0.0392,0.0,0.008399,0.04,0.0
mozilla-beta,4168115,1051,631,210,210,8641,0.8557,0.0,20,0.160472,0.7642,0.0,0.1344,0.0,1.1345,5.402,0.0,0.011833,0.0563,0.0,0.008098,0.0386,0.0,0.008134,0.0387,0.0
mozilla-beta,2022245,1048,629,210,209,8641,0.8329,0.0,20,0.176717,0.8455,0.0,0.0589,0.0,1.0868,5.2,0.0,0.011678,0.0559,0.0,0.008208,0.0393,0.0,0.008299,0.0397,0.0
mozilla-beta,3892689,1044,626,209,209,8641,0.902,0.0,20,0.195179,0.9339,0.0,0.1485,0.0,1.1215,5.366,0.0,0.011665,0.0558,0.0,0.008013,0.0383,0.0,0.008275,0.0396,0.0
mozilla-beta,3892716,1044,626,209,209,8641,0.8691,0.0,20,0.164201,0.7857,0.0,0.1678,0.0,1.1119,5.32,0.0,0.011762,0.0563,0.0,0.008299,0.0397,0.0,0.008226,0.0394,0.0
mozilla-beta,3892717,1044,626,209,209,8641,1.0288,0.0,20,0.202523,0.969,0.0,0.1228,0.0,1.2295,5.883,0.0,0.011233,0.0537,0.0,0.007822,0.0374,0.0,0.008087,0.0387,0.0
mozilla-beta,3892719,1044,626,209,209,8641,0.7873,0.0,20,0.166873,0.7984,0.0,0.1877,0.0,1.0382,4.968,0.0,0.010798,0.0517,0.0,0.007365,0.0352,0.0,0.007458,0.0357,0.0
mozilla-beta,3892721,1044,626,209,209,8641,0.8479,0.0,20,0.177498,0.8493,0.0,0.2009,0.0,1.05,5.024,0.0,0.01094,0.0523,0.0,0.008519,0.0408,0.0,0.007515,0.036,0.0
mozilla-beta,4170047,1030,618,206,206,8641,0.7147,1148.0,19,0.14276,0.693,0.0,0.1541,0.0,1.0354,5.026,0.0,0.010705,0.052,0.0,0.007321,0.0355,0.0,0.007401,0.0359,0.0
mozilla-beta,4170073,1030,618,206,206,8641,0.7851,52.0,20,0.191493,0.9296,8.0,0.1276,0.0,1.0585,5.138,0.0,0.011274,0.0547,0.0,0.007413,0.036,0.0,0.007455,0.0362,0.0
mozilla-beta,4170074,1030,618,206,206,8641,0.8484,8.0,20,0.147914,0.718,8.0,0.2234,0.0,1.3091,6.355,0.0,0.012059,0.0585,0.0,0.008324,0.0404,0.0,0.00833,0.0404,0.0
mozilla-beta,4170075,1030,618,206,206,8641,0.6807,0.0,16,0.157846,0.7662,8.0,0.1218,0.0,1.0553,5.123,0.0,0.010753,0.0522,0.0,0.007374,0.0358,0.0,0.007476,0.0363,0.0
mozilla-beta,4788899,1023,614,205,204,8641,0.7751,0.0,20,0.154718,0.7584,8.0,0.124,0.0,1.0283,5.041,0.0,0.010642,0.0522,0.0,0.007195,0.0353,0.0,0.0073,0.0358,0.0
mozilla-beta,4169249,1001,601,200,200,8641,0.7778,1080.0,20,0.179545,0.8977,12.0,0.16,8.0,1.0,5.0,0.0,0.010442,0.0522,0.0,0.007116,0.0356,0.0,0.007148,0.0357,0.0
mozilla-beta,4169684,1001,601,200,200,8641,0.7982,0.0,20,0.153935,0.7697,12.0,0.1778,16.0,0.9924,4.962,0.0,0.010474,0.0524,0.0,0.007151,0.0358,0.0,0.007245,0.0362,0.0
mozilla-beta,4169688,1001,601,200,200,8641,0.7285,0.0,18,0.139488,0.6974,4.0,0.21,4.0,1.0245,5.122,0.0,0.010548,0.0527,0.0,0.00718,0.0359,0.0,0.007277,0.0364,0.0
mozilla-beta,3892111,994,596,199,199,8641,0.8065,676.0,20,0.163343,0.8208,12.0,0.161,12.0,1.3104,6.585,4.0,0.012628,0.0635,0.0,0.008539,0.0429,0.0,0.0084,0.0422,0.0
mozilla-beta,3892113,994,596,199,199,8641,1.0263,0.0,20,0.222251,1.1168,12.0,0.2656,8.0,1.2792,6.428,0.0,0.012358,0.0621,0.0,0.008358,0.042,0.0,0.008416,0.0423,0.0
mozilla-beta,3892115,994,596,199,199,8641,0.9444,0.0,20,0.148799,0.7477,4.0,0.0875,0.0,1.0222,5.137,0.0,0.010698,0.0538,0.0,0.007801,0.0392,0.0,0.007469,0.0375,0.0
mozilla-beta,3892376,994,596,199,199,8641,0.871,80.0,20,0.162792,0.818,4.0,0.1154,0.0,1.019,5.121,0.0,0.010695,0.0537,0.0,0.007376,0.0371,0.0,0.007461,0.0375,0.0
