method,signature_id,T_total,T_train,T_test,On_Count,Enabled_Frac,Storage_Red,N_Activations,Trigger_Freq,N_Intervals,Median_Interval_Dur,Burst_Ratio,N_Alerts_Test,TP_Alerts,Alert_Coverage,TP_Intervals,FP_Intervals,Precision
EWMA,4654590,586,410,176,11,0.0625,0.9375,11,0.0625,11,1.0,0.0,0,0,,0,11,0.0
EWMA,4654594,586,410,176,9,0.0511,0.9489,9,0.051136,9,1.0,0.0,0,0,,0,9,0.0
EWMA,4654595,586,410,176,13,0.0739,0.9261,9,0.051136,9,1.0,0.4615,0,0,,0,9,0.0
EWMA,4654599,586,410,176,18,0.1023,0.8977,14,0.079545,14,1.0,0.3333,0,0,,0,14,0.0
EWMA,4654636,577,403,174,16,0.092,0.908,13,0.074713,13,1.0,0.3125,1,1,1.0,1,12,0.0769
EWMA,4654637,577,403,174,18,0.1034,0.8966,12,0.068966,12,1.0,0.5556,1,1,1.0,1,11,0.0833
EWMA,4654638,577,403,174,17,0.0977,0.9023,15,0.086207,15,1.0,0.1765,0,0,,0,15,0.0
EWMA,4654639,577,403,174,19,0.1092,0.8908,13,0.074713,13,1.0,0.5263,1,1,1.0,1,12,0.0769
EWMA,4654640,577,403,174,18,0.1034,0.8966,12,0.068966,12,1.0,0.5556,1,1,1.0,1,11,0.0833
EWMA,4654646,577,403,174,26,0.1494,0.8506,17,0.097701,17,1.0,0.5385,0,0,,0,17,0.0
EWMA,4654647,577,403,174,13,0.0747,0.9253,10,0.057471,10,1.0,0.3077,0,0,,0,10,0.0
EWMA,4654649,577,403,174,13,0.0747,0.9253,10,0.057471,10,1.0,0.3846,0,0,,0,10,0.0
EWMA,4654651,577,403,174,17,0.0977,0.9023,13,0.074713,13,1.0,0.4118,0,0,,0,13,0.0
EWMA,4654654,594,415,179,22,0.1229,0.8771,14,0.078212,14,1.0,0.5909,1,1,1.0,1,13,0.0714
EWMA,4654655,594,415,179,13,0.0726,0.9274,10,0.055866,10,1.0,0.3846,1,1,1.0,1,9,0.1
EWMA,4654657,594,415,179,16,0.0894,0.9106,12,0.067039,12,1.0,0.375,1,1,1.0,1,11,0.0833
EWMA,4654658,594,415,179,15,0.0838,0.9162,11,0.061453,11,1.0,0.3333,1,1,1.0,1,10,0.0909
EWMA,4654660,594,415,179,19,0.1061,0.8939,13,0.072626,13,1.0,0.5263,0,0,,0,13,0.0
EWMA,4654663,594,415,179,19,0.1061,0.8939,16,0.089385,16,1.0,0.2632,0,0,,0,16,0.0
EWMA,4654664,594,415,179,16,0.0894,0.9106,14,0.078212,14,1.0,0.1875,0,0,,0,14,0.0
EWMA,4654665,594,415,179,22,0.1229,0.8771,16,0.089385,16,1.0,0.3636,0,0,,0,16,0.0
EWMA,4654666,594,415,179,24,0.1341,0.8659,14,0.078212,14,1.0,0.5833,0,0,,0,14,0.0
EWMA,4654667,594,415,179,21,0.1173,0.8827,16,0.089385,16,1.0,0.4286,0,0,,0,16,0.0
EWMA,4654669,594,415,179,17,0.095,0.905,15,0.083799,15,1.0,0.1765,0,0,,0,15,0.0
EWMA,4654671,594,415,179,10,0.0559,0.9441,10,0.055866,10,1.0,0.0,0,0,,0,10,0.0
EWMA,4654673,583,408,175,25,0.1429,0.8571,15,0.085714,15,1.0,0.64,1,1,1.0,2,13,0.1333
EWMA,4654675,583,408,175,15,0.0857,0.9143,11,0.062857,11,1.0,0.4,1,1,1.0,1,10,0.0909
EWMA,4654676,583,408,175,18,0.1029,0.8971,13,0.074286,13,1.0,0.4444,1,1,1.0,1,12,0.0769
EWMA,4654678,583,408,175,18,0.1029,0.8971,10,0.057143,10,1.0,0.6667,0,0,,0,10,0.0
EWMA,4654681,583,408,175,17,0.0971,0.9029,15,0.085714,15,1.0,0.1765,0,0,,0,15,0.0
EWMA,4654684,583,408,175,21,0.12,0.88,12,0.068571,12,1.0,0.619,0,0,,0,12,0.0
EWMA,4669835,2604,1822,782,66,0.0844,0.9156,36,0.046036,36,1.0,0.6818,0,0,,0,36,0.0
EWMA,4670242,612,428,184,17,0.0924,0.9076,6,0.032609,6,3.0,0.8824,0,0,,0,6,0.0
EWMA,4670243,612,428,184,17,0.0924,0.9076,6,0.032609,6,3.0,0.8824,0,0,,0,6,0.0
EWMA,4670245,612,428,184,21,0.1141,0.8859,15,0.081522,15,1.0,0.4762,0,0,,0,15,0.0
EWMA,4969001,213,149,64,6,0.0938,0.9062,2,0.03125,2,3.0,0.8333,1,1,1.0,1,1,0.5
EWMA,4969017,245,171,74,13,0.1757,0.8243,5,0.067568,5,3.0,0.9231,1,1,1.0,1,4,0.2
EWMA,4969020,203,142,61,5,0.082,0.918,5,0.081967,5,1.0,0.0,0,0,,0,5,0.0
EWMA,4969022,234,163,71,8,0.1127,0.8873,4,0.056338,4,1.0,0.625,0,0,,0,4,0.0
EWMA,4969030,226,158,68,11,0.1618,0.8382,7,0.102941,7,1.0,0.4545,0,0,,0,7,0.0
EWMA,4969038,215,150,65,2,0.0308,0.9692,2,0.030769,2,1.0,0.0,0,0,,0,2,0.0
